"Imbalance settlement period (CET)","+ Imbalance Price [EUR/MWh] - MBA|ES","- Imbalance Price [EUR/MWh] - MBA|ES","Status","Total Imbalance [MWh] - MBA|ES","Difference","Situation","Status"
"01.01.2019 00:00 - 01.01.2019 01:00","66.88","66.88","","463","","","Final"
"01.01.2019 01:00 - 01.01.2019 02:00","66.88","66.88","","378","","","Final"
"01.01.2019 02:00 - 01.01.2019 03:00","38.68","66.00","","-671","","","Final"
"01.01.2019 03:00 - 01.01.2019 04:00","46.14","63.64","","-651","","","Final"
"01.01.2019 04:00 - 01.01.2019 05:00","47.06","58.85","","-448","","","Final"
"01.01.2019 05:00 - 01.01.2019 06:00","47.04","55.47","","-422","","","Final"
"01.01.2019 06:00 - 01.01.2019 07:00","47.04","56.00","","-383","","","Final"
"01.01.2019 07:00 - 01.01.2019 08:00","47.06","61.09","","-439","","","Final"
"01.01.2019 08:00 - 01.01.2019 09:00","44.97","61.01","","-479","","","Final"
"01.01.2019 09:00 - 01.01.2019 10:00","36.22","61.00","","-748","","","Final"
"01.01.2019 10:00 - 01.01.2019 11:00","44.90","63.00","","-295","","","Final"
"01.01.2019 11:00 - 01.01.2019 12:00","49.00","63.00","","-254","","","Final"
"01.01.2019 12:00 - 01.01.2019 13:00","40.37","64.03","","-517","","","Final"
"01.01.2019 13:00 - 01.01.2019 14:00","48.40","65.88","","-777","","","Final"
"01.01.2019 14:00 - 01.01.2019 15:00","48.77","65.01","","-805","","","Final"
"01.01.2019 15:00 - 01.01.2019 16:00","48.26","60.84","","-700","","","Final"
"01.01.2019 16:00 - 01.01.2019 17:00","47.80","61.09","","-539","","","Final"
"01.01.2019 17:00 - 01.01.2019 18:00","61.19","63.08","","-21","","","Final"
"01.01.2019 18:00 - 01.01.2019 19:00","61.47","66.66","","-102","","","Final"
"01.01.2019 19:00 - 01.01.2019 20:00","54.10","67.06","","-195","","","Final"
"01.01.2019 20:00 - 01.01.2019 21:00","55.00","67.26","","-180","","","Final"
"01.01.2019 21:00 - 01.01.2019 22:00","63.07","68.07","","-127","","","Final"
"01.01.2019 22:00 - 01.01.2019 23:00","45.82","67.08","","-294","","","Final"
"01.01.2019 23:00 - 02.01.2019 00:00","48.07","64.03","","-337","","","Final"
"02.01.2019 00:00 - 02.01.2019 01:00","39.46","61.74","","-893","","","Final"
"02.01.2019 01:00 - 02.01.2019 02:00","44.37","53.00","","-566","","","Final"
"02.01.2019 02:00 - 02.01.2019 03:00","45.32","48.23","","-431","","","Final"
"02.01.2019 03:00 - 02.01.2019 04:00","44.69","47.23","","-368","","","Final"
"02.01.2019 04:00 - 02.01.2019 05:00","5.24","45.24","","-750","","","Final"
"02.01.2019 05:00 - 02.01.2019 06:00","0.10","45.70","","-818","","","Final"
"02.01.2019 06:00 - 02.01.2019 07:00","1.70","51.10","","-395","","","Final"
"02.01.2019 07:00 - 02.01.2019 08:00","58.37","58.37","","253","","","Final"
"02.01.2019 08:00 - 02.01.2019 09:00","45.08","63.75","","-453","","","Final"
"02.01.2019 09:00 - 02.01.2019 10:00","55.07","66.10","","-54","","","Final"
"02.01.2019 10:00 - 02.01.2019 11:00","65.88","67.92","","269","","","Final"
"02.01.2019 11:00 - 02.01.2019 12:00","63.63","67.69","","822","","","Final"
"02.01.2019 12:00 - 02.01.2019 13:00","62.80","68.48","","994","","","Final"
"02.01.2019 13:00 - 02.01.2019 14:00","63.16","66.85","","682","","","Final"
"02.01.2019 14:00 - 02.01.2019 15:00","61.50","63.00","","438","","","Final"
"02.01.2019 15:00 - 02.01.2019 16:00","60.69","67.54","","559","","","Final"
"02.01.2019 16:00 - 02.01.2019 17:00","62.19","64.95","","396","","","Final"
"02.01.2019 17:00 - 02.01.2019 18:00","67.10","69.06","","503","","","Final"
"02.01.2019 18:00 - 02.01.2019 19:00","69.30","70.70","","605","","","Final"
"02.01.2019 19:00 - 02.01.2019 20:00","69.25","69.82","","647","","","Final"
"02.01.2019 20:00 - 02.01.2019 21:00","68.07","68.07","","630","","","Final"
"02.01.2019 21:00 - 02.01.2019 22:00","68.01","68.76","","360","","","Final"
"02.01.2019 22:00 - 02.01.2019 23:00","66.66","68.34","","281","","","Final"
"02.01.2019 23:00 - 03.01.2019 00:00","64.28","68.05","","137","","","Final"
"03.01.2019 00:00 - 03.01.2019 01:00","62.01","68.06","","313","","","Final"
"03.01.2019 01:00 - 03.01.2019 02:00","54.85","64.30","","179","","","Final"
"03.01.2019 02:00 - 03.01.2019 03:00","52.19","63.81","","68","","","Final"
"03.01.2019 03:00 - 03.01.2019 04:00","50.21","57.25","","14","","","Final"
"03.01.2019 04:00 - 03.01.2019 05:00","50.20","57.25","","64","","","Final"
"03.01.2019 05:00 - 03.01.2019 06:00","52.19","52.19","","74","","","Final"
"03.01.2019 06:00 - 03.01.2019 07:00","54.91","67.83","","809","","","Final"
"03.01.2019 07:00 - 03.01.2019 08:00","66.58","69.31","","760","","","Final"
"03.01.2019 08:00 - 03.01.2019 09:00","68.03","70.42","","472","","","Final"
"03.01.2019 09:00 - 03.01.2019 10:00","69.12","71.96","","506","","","Final"
"03.01.2019 10:00 - 03.01.2019 11:00","69.19","72.00","","509","","","Final"
"03.01.2019 11:00 - 03.01.2019 12:00","68.01","70.57","","758","","","Final"
"03.01.2019 12:00 - 03.01.2019 13:00","67.20","70.19","","574","","","Final"
"03.01.2019 13:00 - 03.01.2019 14:00","66.70","69.62","","685","","","Final"
"03.01.2019 14:00 - 03.01.2019 15:00","67.00","67.34","","247","","","Final"
"03.01.2019 15:00 - 03.01.2019 16:00","68.01","68.01","","450","","","Final"
"03.01.2019 16:00 - 03.01.2019 17:00","68.99","70.61","","513","","","Final"
"03.01.2019 17:00 - 03.01.2019 18:00","70.00","70.57","","653","","","Final"
"03.01.2019 18:00 - 03.01.2019 19:00","71.10","71.57","","1259","","","Final"
"03.01.2019 19:00 - 03.01.2019 20:00","70.55","70.80","","1168","","","Final"
"03.01.2019 20:00 - 03.01.2019 21:00","68.38","70.45","","1766","","","Final"
"03.01.2019 21:00 - 03.01.2019 22:00","67.83","70.73","","828","","","Final"
"03.01.2019 22:00 - 03.01.2019 23:00","66.10","69.85","","665","","","Final"
"03.01.2019 23:00 - 04.01.2019 00:00","66.88","68.86","","414","","","Final"
"04.01.2019 00:00 - 04.01.2019 01:00","67.20","68.68","","514","","","Final"
"04.01.2019 01:00 - 04.01.2019 02:00","63.75","67.68","","119","","","Final"
"04.01.2019 02:00 - 04.01.2019 03:00","58.89","58.89","","319","","","Final"
"04.01.2019 03:00 - 04.01.2019 04:00","54.94","60.26","","188","","","Final"
"04.01.2019 04:00 - 04.01.2019 05:00","54.85","54.85","","217","","","Final"
"04.01.2019 05:00 - 04.01.2019 06:00","58.00","58.00","","215","","","Final"
"04.01.2019 06:00 - 04.01.2019 07:00","63.00","68.57","","419","","","Final"
"04.01.2019 07:00 - 04.01.2019 08:00","68.40","72.70","","742","","","Final"
"04.01.2019 08:00 - 04.01.2019 09:00","69.71","72.00","","1059","","","Final"
"04.01.2019 09:00 - 04.01.2019 10:00","71.06","74.45","","1488","","","Final"
"04.01.2019 10:00 - 04.01.2019 11:00","71.06","73.54","","1661","","","Final"
"04.01.2019 11:00 - 04.01.2019 12:00","70.16","74.99","","1615","","","Final"
"04.01.2019 12:00 - 04.01.2019 13:00","70.01","74.12","","1076","","","Final"
"04.01.2019 13:00 - 04.01.2019 14:00","69.17","71.82","","617","","","Final"
"04.01.2019 14:00 - 04.01.2019 15:00","69.15","69.98","","235","","","Final"
"04.01.2019 15:00 - 04.01.2019 16:00","68.40","68.40","","255","","","Final"
"04.01.2019 16:00 - 04.01.2019 17:00","68.40","68.40","","373","","","Final"
"04.01.2019 17:00 - 04.01.2019 18:00","69.15","70.44","","675","","","Final"
"04.01.2019 18:00 - 04.01.2019 19:00","71.06","71.40","","1210","","","Final"
"04.01.2019 19:00 - 04.01.2019 20:00","71.94","72.04","","1291","","","Final"
"04.01.2019 20:00 - 04.01.2019 21:00","70.20","70.29","","1104","","","Final"
"04.01.2019 21:00 - 04.01.2019 22:00","68.71","70.31","","993","","","Final"
"04.01.2019 22:00 - 04.01.2019 23:00","68.68","70.82","","569","","","Final"
"04.01.2019 23:00 - 05.01.2019 00:00","68.17","70.74","","556","","","Final"
"05.01.2019 00:00 - 05.01.2019 01:00","71.68","71.68","","155","","","Final"
"05.01.2019 01:00 - 05.01.2019 02:00","69.50","73.54","","496","","","Final"
"05.01.2019 02:00 - 05.01.2019 03:00","68.07","68.57","","236","","","Final"
"05.01.2019 03:00 - 05.01.2019 04:00","66.00","68.05","","292","","","Final"
"05.01.2019 04:00 - 05.01.2019 05:00","63.93","67.38","","136","","","Final"
"05.01.2019 05:00 - 05.01.2019 06:00","62.00","62.00","","254","","","Final"
"05.01.2019 06:00 - 05.01.2019 07:00","60.84","60.84","","360","","","Final"
"05.01.2019 07:00 - 05.01.2019 08:00","62.92","67.08","","453","","","Final"
"05.01.2019 08:00 - 05.01.2019 09:00","60.79","66.26","","435","","","Final"
"05.01.2019 09:00 - 05.01.2019 10:00","66.92","66.92","","821","","","Final"
"05.01.2019 10:00 - 05.01.2019 11:00","69.12","72.58","","1171","","","Final"
"05.01.2019 11:00 - 05.01.2019 12:00","68.25","72.12","","1240","","","Final"
"05.01.2019 12:00 - 05.01.2019 13:00","67.67","70.78","","908","","","Final"
"05.01.2019 13:00 - 05.01.2019 14:00","64.00","64.00","","237","","","Final"
"05.01.2019 14:00 - 05.01.2019 15:00","61.57","64.38","","418","","","Final"
"05.01.2019 15:00 - 05.01.2019 16:00","59.40","60.75","","534","","","Final"
"05.01.2019 16:00 - 05.01.2019 17:00","58.31","63.18","","589","","","Final"
"05.01.2019 17:00 - 05.01.2019 18:00","67.20","69.33","","528","","","Final"
