"Imbalance settlement period (CET)","+ Imbalance Price [EUR/MWh] - MBA|SI","- Imbalance Price [EUR/MWh] - MBA|SI","Status","Total Imbalance [MWh] - MBA|SI","Difference","Situation","Status"
"01.01.2019 00:00 - 01.01.2019 01:00","1.53","51.00","","4","","Surplus","Final"
"01.01.2019 01:00 - 01.01.2019 02:00","3.00","47.46","","11","","Deficit","Final"
"01.01.2019 02:00 - 01.01.2019 03:00","3.00","40.82","","3","","Deficit","Final"
"01.01.2019 03:00 - 01.01.2019 04:00","2.05","27.87","","6","","Surplus","Final"
"01.01.2019 04:00 - 01.01.2019 05:00","-18.02","-0.36","","43","","Surplus","Final"
"01.01.2019 05:00 - 01.01.2019 06:00","-35.31","-4.45","","47","","Surplus","Final"
"01.01.2019 06:00 - 01.01.2019 07:00","-36.39","-8.99","","66","","Surplus","Final"
"01.01.2019 07:00 - 01.01.2019 08:00","-16.38","-6.05","","63","","Surplus","Final"
"01.01.2019 08:00 - 01.01.2019 09:00","-22.25","1.53","","75","","Surplus","Final"
"01.01.2019 09:00 - 01.01.2019 10:00","-21.98","0.41","","98","","Surplus","Final"
"01.01.2019 10:00 - 01.01.2019 11:00","-19.99","14.34","","132","","Surplus","Final"
"01.01.2019 11:00 - 01.01.2019 12:00","0.00","41.03","","150","","Surplus","Final"
"01.01.2019 12:00 - 01.01.2019 13:00","-7.90","48.97","","138","","Surplus","Final"
"01.01.2019 13:00 - 01.01.2019 14:00","0.00","41.06","","127","","Surplus","Final"
"01.01.2019 14:00 - 01.01.2019 15:00","-5.46","37.95","","93","","Surplus","Final"
"01.01.2019 15:00 - 01.01.2019 16:00","0.00","53.59","","79","","Surplus","Final"
"01.01.2019 16:00 - 01.01.2019 17:00","-15.78","58.65","","82","","Surplus","Final"
"01.01.2019 17:00 - 01.01.2019 18:00","-10.30","64.64","","118","","Surplus","Final"
"01.01.2019 18:00 - 01.01.2019 19:00","-7.27","65.00","","76","","Surplus","Final"
"01.01.2019 19:00 - 01.01.2019 20:00","2.14","65.56","","73","","Surplus","Final"
"01.01.2019 20:00 - 01.01.2019 21:00","1.44","64.23","","51","","Surplus","Final"
"01.01.2019 21:00 - 01.01.2019 22:00","2.04","61.72","","26","","Surplus","Final"
"01.01.2019 22:00 - 01.01.2019 23:00","1.87","58.65","","33","","Surplus","Final"
"01.01.2019 23:00 - 02.01.2019 00:00","0.00","54.91","","16","","Surplus","Final"
"02.01.2019 00:00 - 02.01.2019 01:00","53.11","87.79","","2","","Deficit","Final"
"02.01.2019 01:00 - 02.01.2019 02:00","43.47","108.55","","5","","Surplus","Final"
"02.01.2019 02:00 - 02.01.2019 03:00","19.20","123.33","","3","","Deficit","Final"
"02.01.2019 03:00 - 02.01.2019 04:00","0.00","81.82","","1","","Surplus","Final"
"02.01.2019 04:00 - 02.01.2019 05:00","0.00","55.10","","10","","Surplus","Final"
"02.01.2019 05:00 - 02.01.2019 06:00","39.00","113.91","","2","","Deficit","Final"
"02.01.2019 06:00 - 02.01.2019 07:00","-37.57","53.10","","34","","Surplus","Final"
"02.01.2019 07:00 - 02.01.2019 08:00","-8.37","65.41","","92","","Surplus","Final"
"02.01.2019 08:00 - 02.01.2019 09:00","4.48","50.55","","78","","Surplus","Final"
"02.01.2019 09:00 - 02.01.2019 10:00","-8.04","52.93","","65","","Surplus","Final"
"02.01.2019 10:00 - 02.01.2019 11:00","-13.08","54.00","","95","","Surplus","Final"
"02.01.2019 11:00 - 02.01.2019 12:00","0.45","64.00","","96","","Surplus","Final"
"02.01.2019 12:00 - 02.01.2019 13:00","0.00","62.80","","123","","Surplus","Final"
"02.01.2019 13:00 - 02.01.2019 14:00","0.00","58.65","","129","","Surplus","Final"
"02.01.2019 14:00 - 02.01.2019 15:00","1.78","59.84","","110","","Surplus","Final"
"02.01.2019 15:00 - 02.01.2019 16:00","1.01","65.00","","77","","Surplus","Final"
"02.01.2019 16:00 - 02.01.2019 17:00","6.87","66.63","","31","","Surplus","Final"
"02.01.2019 17:00 - 02.01.2019 18:00","-37.86","72.69","","18","","Surplus","Final"
"02.01.2019 18:00 - 02.01.2019 19:00","70.49","107.09","","14","","Surplus","Final"
"02.01.2019 19:00 - 02.01.2019 20:00","73.56","136.50","","9","","Deficit","Final"
"02.01.2019 20:00 - 02.01.2019 21:00","66.63","142.22","","22","","Deficit","Final"
"02.01.2019 21:00 - 02.01.2019 22:00","61.29","143.35","","30","","Deficit","Final"
"02.01.2019 22:00 - 02.01.2019 23:00","58.65","128.11","","5","","Deficit","Final"
"02.01.2019 23:00 - 03.01.2019 00:00","54.31","133.26","","14","","Deficit","Final"
"03.01.2019 00:00 - 03.01.2019 01:00","40.75","70.31","","48","","Surplus","Final"
"03.01.2019 01:00 - 03.01.2019 02:00","42.24","80.75","","47","","Surplus","Final"
"03.01.2019 02:00 - 03.01.2019 03:00","43.64","74.93","","17","","Surplus","Final"
"03.01.2019 03:00 - 03.01.2019 04:00","40.86","71.15","","47","","Surplus","Final"
"03.01.2019 04:00 - 03.01.2019 05:00","-37.11","43.88","","58","","Surplus","Final"
"03.01.2019 05:00 - 03.01.2019 06:00","42.94","96.55","","26","","Surplus","Final"
"03.01.2019 06:00 - 03.01.2019 07:00","-38.20","55.10","","40","","Surplus","Final"
"03.01.2019 07:00 - 03.01.2019 08:00","66.58","109.57","","4","","Deficit","Final"
"03.01.2019 08:00 - 03.01.2019 09:00","-38.10","69.60","","35","","Surplus","Final"
"03.01.2019 09:00 - 03.01.2019 10:00","-38.62","69.70","","55","","Surplus","Final"
"03.01.2019 10:00 - 03.01.2019 11:00","-38.49","69.19","","55","","Surplus","Final"
"03.01.2019 11:00 - 03.01.2019 12:00","50.79","73.00","","65","","Surplus","Final"
"03.01.2019 12:00 - 03.01.2019 13:00","62.81","72.96","","21","","Surplus","Final"
"03.01.2019 13:00 - 03.01.2019 14:00","63.83","97.44","","33","","Surplus","Final"
"03.01.2019 14:00 - 03.01.2019 15:00","67.00","126.67","","4","","Deficit","Final"
"03.01.2019 15:00 - 03.01.2019 16:00","-35.66","68.01","","11","","Surplus","Final"
"03.01.2019 16:00 - 03.01.2019 17:00","66.89","123.86","","22","","Surplus","Final"
"03.01.2019 17:00 - 03.01.2019 18:00","-37.19","73.00","","22","","Surplus","Final"
"03.01.2019 18:00 - 03.01.2019 19:00","71.52","90.33","","13","","Surplus","Final"
"03.01.2019 19:00 - 03.01.2019 20:00","68.20","109.76","","18","","Surplus","Final"
"03.01.2019 20:00 - 03.01.2019 21:00","66.44","127.48","","6","","Surplus","Final"
"03.01.2019 21:00 - 03.01.2019 22:00","60.18","123.74","","7","","Surplus","Final"
"03.01.2019 22:00 - 03.01.2019 23:00","59.84","133.52","","17","","Deficit","Final"
"03.01.2019 23:00 - 04.01.2019 00:00","51.78","99.32","","2","","Deficit","Final"
"04.01.2019 00:00 - 04.01.2019 01:00","-35.90","55.52","","17","","Surplus","Final"
"04.01.2019 01:00 - 04.01.2019 02:00","-35.93","52.91","","15","","Surplus","Final"
"04.01.2019 02:00 - 04.01.2019 03:00","48.63","74.65","","0","","Balanced","Final"
"04.01.2019 03:00 - 04.01.2019 04:00","-35.00","48.58","","17","","Deficit","Final"
"04.01.2019 04:00 - 04.01.2019 05:00","47.00","112.83","","28","","Deficit","Final"
