Imbalance settlement period (CET);Imbalance Price [EUR/MWh];Situation;Day-ahead Price [EUR/MWh] ;;;;;;
2020-01-01 00:00:00;24,92;Surplus;41,88;OK;0;;;;Surplus
2020-01-01 01:00:00;53,592;Deficit;38,6;OK;0;;;;
2020-01-01 02:00:00;48,05333333;Deficit;36,55;OK;0;;;;
2020-01-01 03:00:00;42,87333333;Deficit;32,32;OK;0;;;;
2020-01-01 04:00:00;40,772;Deficit;30,85;OK;0;;;;
2020-01-01 05:00:00;39,73066667;Deficit;30,14;OK;0;;;;
2020-01-01 06:00:00;40,02266667;Deficit;30,17;OK;0;;;;
2020-01-01 07:00:00;39,856;Deficit;30;OK;0;;;;
2020-01-01 08:00:00;39,51466667;Deficit;30,65;OK;0;;;;
2020-01-01 09:00:00;39,50933333;Deficit;30,65;OK;0;;;;
2020-01-01 10:00:00;39,02933333;Deficit;30,27;OK;0;;;;
2020-01-01 11:00:00;39,116;Deficit;30,34;OK;0;;;;
2020-01-01 12:00:00;18,44;Surplus;30,99;OK;0;;;;
2020-01-01 13:00:00;17,876;Deficit;30,04;FALSE;1;;;;
2020-01-01 14:00:00;42,69333333;Deficit;30,75;OK;0;;;;
2020-01-01 15:00:00;44,588;Deficit;32,11;OK;0;;;;
2020-01-01 16:00:00;48,85066667;Deficit;35,98;OK;0;;;;
2020-01-01 17:00:00;52,75466667;Deficit;40,4;OK;0;;;;
2020-01-01 18:00:00;56,94;Deficit;44,05;OK;0;;;;
2020-01-01 19:00:00;56,94133333;Deficit;44,04;OK;0;;;;
2020-01-01 20:00:00;62,108;Deficit;47,38;OK;0;;;;
2020-01-01 21:00:00;58,424;Deficit;42,08;OK;0;;;;
2020-01-01 22:00:00;24,19333333;Surplus;40,66;OK;0;;;;
2020-01-01 23:00:00;23,86133333;Surplus;35,34;OK;0;;;;
2020-01-02 00:00:00;23,84933333;Surplus;35,4;OK;0;;;;
2020-01-02 01:00:00;19,02933333;Surplus;31,98;OK;0;;;;
